32839	346216	447487	754635	652092	802826	69635	790592	199236	765553
132015	467782	759029	650585	270678	691226	814911	262913	833478	844934
184200	492744	34216	325696	20618	177034	808664	382910	382181	479415
503287	497665	936212	746745	591932	343320	457940	868881	403593	992158
496377	666754	360148	305811	156634	492215	556017	297324	951106	187494
384773	262932	989440	362759	506354	787075	3509	780525	734770	24859
959704	671700	377803	409809	248184	235839	166387	750015	410106	891224
663710	702820	621104	575012	420421	120770	746357	664190	377893	563133
558077	761087	92862	745246	257060	315478	835581	654510	660016	272029
734755	23309	89665	886464	610132	584642	967843	662227	270179	751264
388969	208101	992021	700567	995547	94658	818095	452608	947668	920382
636012	394555	411635	759311	964872	123632	269846	147910	944820	21095
502325	335149	688004	692136	879165	970975	272298	495137	678065	543651
713925	351457	289617	603343	789382	851088	77194	322819	430155	355400
902551	9442	763203	384694	500745	311054	639847	125489	227216	95696
78670	817427	326452	755252	885733	819175	280078	936608	203907	928258
275466	951092	800569	870038	815633	284079	772872	622245	621162	747290
554028	776188	399981	721295	550702	964988	863779	309449	611756	692965
192720	770285	735848	195508	292035	470123	305725	931173	374000	667590
166811	487206	749110	714019	925242	543671	243313	418710	679712	791906
52862	459731	808177	838501	179314	883912	703640	744927	701156	573224
962069	78898	381027	432537	283884	674824	73978	290986	383739	120961
734161	583878	7784	813502	367476	586223	165849	918289	317284	991490
630022	585453	777318	674826	51214	629699	506480	526026	572178	489210
909939	59120	364684	597902	352893	803928	36646	754243	252551	818919
217255	603236	36829	918984	361847	262195	801575	572982	603474	914645
322829	909105	502794	186842	908701	366439	960559	712560	870396	973861
958025	8078	554518	32937	168925	672330	287387	464890	715303	69045
295962	871046	65314	907499	255352	224909	394360	51638	37888	764879
894520	601164	152588	519900	500225	160167	717724	620655	785242	676379
684555	954940	496936	620283	65492	653510	75637	319760	448737	933235
938191	518824	592927	35976	658629	925106	309004	338400	776014	181202
545478	923654	568859	922172	884216	17615	444895	173381	156062	10285
787947	990924	579085	695361	132976	992435	15354	401835	599	845515
525804	373961	433945	699733	863035	842024	568814	897163	382826	156941
649521	119950	34629	895882	682543	616276	401223	785639	285069	486896
