565575	530068	469544	461404	251295	562927	843880	140273	789008	424773
630322	659894	855115	729352	332562	212485	89116	527098	34809	846641
790269	272566	2714	484206	263863	775983	450204	77776	492164	756016
421174	119358	973257	65832	575135	538637	539148	284864	579923	952806
696700	367090	279518	414419	406379	402251	651774	41051	235204	85593
46166	909803	459626	462186	240684	750328	401656	973493	500342	993800
607455	843507	429931	570156	745610	624615	718072	242575	596140	907203
902268	987201	504369	24546	865990	787768	518086	329903	625726	607479
169988	370762	421986	629012	851754	239706	329840	989583	253283	791467
740701	653610	102404	426838	474482	535177	795548	115492	947635	513364
737007	929164	415921	501885	859048	506589	976275	49241	387377	139473
733278	56003	107376	649118	997726	639555	725897	543323	104459	549746
926579	748583	328690	159340	896869	368390	739947	931397	393855	5034
498548	730781	568596	323216	712199	719951	288538	499049	969425	867837
506067	175469	699470	739083	682675	767014	393839	114061	177115	67195
150645	156799	680095	693016	421065	219112	759320	534099	888427	401337
469880	546911	929379	483956	726751	279788	365372	222750	514580	844504
564597	748409	396521	581855	99399	468340	94028	880838	988804	969307
687583	911258	588412	447302	414384	237677	748642	156658	280533	303949
610240	618555	820229	357609	224130	264781	708454	22337	891111	442453
780023	675347	46049	705462	776093	525014	896252	877367	675741	643482
566772	849681	976087	707370	761875	31560	210008	527626	588115	648325
65808	388353	22029	802953	289079	727873	743205	236546	97473	521572
650172	608930	14839	24555	193615	950774	397797	443488	807666	897062
999203	13030	484905	908450	369891	578007	220080	857646	787143	826517
600167	472681	126720	270625	99194	537935	9466	402208	857012	85766
699633	766607	118551	749978	353699	804333	428196	794053	284797	598497
709358	839868	659754	502862	906294	690211	231632	258813	607370	491387
45006	110986	64813	227248	944193	471445	199376	585461	526290	646287
385468	192491	534221	975613	518433	386273	921404	938532	526968	229119
90079	179133	358175	186173	3465	14841	919840	165098	975666	64068
775661	941442	224043	129270	768417	930888	83293	690103	859381	873626
625751	763599	367963	935099	485214	182580	369712	39456	911992	935375
712495	454570	83103	486848	931055	950052	446946	392545	777595	160037
298349	64413	309206	787771	719046	314781	742165	501707	808773	589940
993139	274777	696618	741057	695267	813699	299186	768813	924257	192709
367347	451511	953643	655100	473870	165992	235485	963054	643382	890830
591799	126918	865363	448851	935490	478731	819012	510475	479491	14363
330671	23454	909432	532408	813613	469434	530270	175475	684152	727696
384197	60035	257541	686501	935770	65058	883103	892383	266068	180103
791496	895018	461537	125424	366745	64495	697461	441203	76141	637467
453530	255071	457151	702155	675858	738982	917631	623046	349145	307765
901659	58835	920917	376709	302746	35833	654124	732571	711574	612234
353727	354631	544584	941996	18967	938423	102023	170916	986126	550633
37145	761289	938805	472467	97939	660653	337066	58716	538093	856658
372924	646264	147273	608754	887232	1801	273944	407776	398065	96424
917669	220235	819585	911121	49525	390481	628269	893769	554682	430537
664048	933416	14540	454523	838919	366735	742893	119911	713652	993488
748924	171613	432359	57646	233116	721723	180737	412425	903866	988877
148793	871141	105921	461819	666734	630213	480967	229222	13491	357332
516516	540706	403649	756261	97737	635822	814666	567854	15492	829538
945164	642419	246604	181608	238389	733474	932149	946193	277088	977347
618102	768388	140963	848873	271886	108993	581434	326603	327434	740874
